ders_kodu,dersinadi,ogretimyili,donem,LLM_METIN
FİZ108,Physics Laboratory II (Fizik Laboratuvarı II),2024-2025,BAHAR,"DERS KODU: FİZ108 | DERS ADI: Physics Laboratory II (Fizik Laboratuvarı II)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 2, KREDİ: 1.5
- KONTENJAN (Toplam/Birim İçi): 31/0
- DETAYLI İÇERİK: Elektriksel Ölçü Aletlerinin Kullanımı; Elektrik Deneylerinde Dikkat Edilecek Güvenlik Kuralları Deneysel Çalışma İlkeleri ve Deney Raporlarının Hazırlanışı; Paralel Levhalı Kondansatörler; İletken Yüzeylerde Yük Dağılımının İncelenmesi; DC Elektrik Devrelerinde Ohm Yasası; Wheatstone Köprüsü; Elektromanyetik İndüksiyon Transformatör; Emk ve İç Direnç Saptanması; Frekans Tayini; Elektroliz; Osiloskop.
---
"
FİZ108,Fizik Laboratuvarı II,2024-2025,BAHAR,"DERS KODU: FİZ108 | DERS ADI: Fizik Laboratuvarı II
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 2, KREDİ: 1.5
- KONTENJAN (Toplam/Birim İçi): 31/0
- DETAYLI İÇERİK: Elektriksel Ölçü Aletlerinin Kullanımı; Elektrik Deneylerinde Dikkat Edilecek Güvenlik Kuralları Deneysel Çalışma İlkeleri ve Deney Raporlarının Hazırlanışı; Paralel Levhalı Kondansatörler; İletken Yüzeylerde Yük Dağılımının İncelenmesi; DC Elektrik Devrelerinde Ohm Yasası; Wheatstone Köprüsü; Elektromanyetik İndüksiyon Transformatör; Emk ve İç Direnç Saptanması; Frekans Tayini; Elektroliz; Osiloskop.
---
"
ESTÜ129,Yabancı Dil Olarak Türkçe I,2024-2025,GÜZ,"DERS KODU: ESTÜ129 | DERS ADI: Yabancı Dil Olarak Türkçe I
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 1, KREDİ: 2.0
- KONTENJAN (Toplam/Birim İçi): 10/3
- DETAYLI İÇERİK: İçerik bilgisi mevcut değil.
---
"
ESTÜ129,Yabancı Dil Olarak Türkçe I,2024-2025,BAHAR,"DERS KODU: ESTÜ129 | DERS ADI: Yabancı Dil Olarak Türkçe I
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 2, KREDİ: 2.0
- KONTENJAN (Toplam/Birim İçi): 5/5
- DETAYLI İÇERİK: İçerik bilgisi mevcut değil.
---
"
EKİM105,Genel Kimya,2024-2025,GÜZ,"DERS KODU: EKİM105 | DERS ADI: Genel Kimya
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 1, KREDİ: 6.0
- KONTENJAN (Toplam/Birim İçi): 9999/0
- DETAYLI İÇERİK: Giriş: Madde ve Ölçme; Atomlar, Moleküller ve İyonlar; Kimyasal Tepkimeler ve Tepkime Stokiyometrisi; Sulu Çözeltilerde Tepkimeler; Atomların Elektronik Yapısı; Elementlerin Periyodik Özellikleri; Kimyasal Bağlar; Gazlar, Sıvılar, Moleküller Arası Kuvvetler ve Katılar; Çözeltilerin Özellikleri; Kimyasal Kinetik; Kimyasal Denge ve Asit-Baz Dengesi; Termokimya ve Kimyasal Termodinamik; Elektrokimya.
---
"
EKİM105,General Chemistry (Genel Kimya),2024-2025,GÜZ,"DERS KODU: EKİM105 | DERS ADI: General Chemistry (Genel Kimya)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 1, KREDİ: 6.0
- KONTENJAN (Toplam/Birim İçi): 9999/0
- DETAYLI İÇERİK: Giriş: Madde ve Ölçme; Atomlar, Moleküller ve İyonlar; Kimyasal Tepkimeler ve Tepkime Stokiyometrisi; Sulu Çözeltilerde Tepkimeler; Atomların Elektronik Yapısı; Elementlerin Periyodik Özellikleri; Kimyasal Bağlar; Gazlar, Sıvılar, Moleküller Arası Kuvvetler ve Katılar; Çözeltilerin Özellikleri; Kimyasal Kinetik; Kimyasal Denge ve Asit-Baz Dengesi; Termokimya ve Kimyasal Termodinamik; Elektrokimya.
---
"
BİM122,Kesikli Matematiksel Yapılar,2024-2025,BAHAR,"DERS KODU: BİM122 | DERS ADI: Kesikli Matematiksel Yapılar
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 2, KREDİ: 5.0
- KONTENJAN (Toplam/Birim İçi): 9999/0
- DETAYLI İÇERİK: Matematiksel Mantık ve Küme Teorisine Bakış; İspat Yöntemleri; Doğrudan İspat; Dolaylı İspat; Bölme Algoritması; Seriler ve Matematiksel Tesir; Sayma; Bağıntı; Bağıntıların Özellikleri; Eşitlik Bağıntıları; Kısmi Bağıntılar; Fonksiyonlar; Fonksiyon Çeşitleri; Fonksiyonların Oluşturulması; Asallık ve Sayılabilirlik; Cebirsel Sistemler; Duality Prensibi; Homomorfizm ve İzomorfizm; Lattice'ler; Boolean Cebir; Boolean İfadeler; Graflar ve Yönlendirilmiş Graflar; Yol ve Devreler; Grafların Matris Gösterimi; Ağaçlar; Köklü Ağaçlar; İkilik Sistemde Cebir; Gruplar; Grupların Temel Özellikleri; Sonlu Durumlu Makinalar ve Diller.
---
"
BİM314,Hesaplama Kuramı,2024-2025,BAHAR,"DERS KODU: BİM314 | DERS ADI: Hesaplama Kuramı
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 4, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 9999/1
- DETAYLI İÇERİK: Formel Diller; Gramerler ve Chomsky Hiyerarşisi; Düzenli İfadeler; Sonlu Durum Makinalar; Mealy ve Moore Modelleri; Makina Kongrüansı ve Durum İndirgenmesi; Belirgin ve Belirgin Olmayan Otomatlar; Yığın Yapılı Otomatlar ve İçerik Bağımsız Gramerler; Turing Makinaları ve Hesaplanabilirlik; Kod Teorisine Giriş; Grup Kodlar.
---
"
BİM314,Theory of Computation (Hesaplama Kuramı),2024-2025,BAHAR,"DERS KODU: BİM314 | DERS ADI: Theory of Computation (Hesaplama Kuramı)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 4, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 9999/1
- DETAYLI İÇERİK: Formel Diller; Gramerler ve Chomsky Hiyerarşisi; Düzenli İfadeler; Sonlu Durum Makinalar; Mealy ve Moore Modelleri; Makina Kongrüansı ve Durum İndirgenmesi; Belirgin ve Belirgin Olmayan Otomatlar; Yığın Yapılı Otomatlar ve İçerik Bağımsız Gramerler; Turing Makinaları ve Hesaplanabilirlik; Kod Teorisine Giriş; Grup Kodlar.
---
"
BİM437,Bilgisayar Mühendisliği için Tasarım,2024-2025,GÜZ,"DERS KODU: BİM437 | DERS ADI: Bilgisayar Mühendisliği için Tasarım
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.0
- KONTENJAN (Toplam/Birim İçi): 8/0
- DETAYLI İÇERİK: Bilgisayar Mühendisliği Konularından Seçmeler: Programal dilleri, Yönetim bilişim sistemleri, Yazılım mühendisliği, Parallel ve dağıtık sistemler, Proje yönetimi, Algoritma analizi, Yazay sinir ağları sinyaller ve sistemler ve mikroişlemciler gibi konuların günlük hayat problemlerine uygulanması ve bir tasarım gerçeklemesi; Özgün Yazılımlar ve Uygulamalara İlişkin Seminerler.
---
"
